Reference,Colour_Description,Breed_Description,Animal_Name,Gender,Suburb,Age
156424,White,Labrador Retriever,ELLA,Desexed Female,CRAIGMORE,8
156425,White,Maltese,OSCAR,Male,CRAIGMORE,4
156426,White,Maltese X,LOUIS,Desexed Male,ANDREWS FARM,3
156427,Black/Brown,Australian Terrier,TINY,Desexed Male,ANDREWS FARM,2
156428,Brown/White,Shih Tzu,MOLLY,Female,ANDREWS FARM,4
156429,Black/Brindle,Staffordshire Bull Terrier,ROCKY,Male,ANDREWS FARM,1
156430,White,Maltese X,PEPPER,Male,MUNNO PARA WEST,4
156431,Brown,Chihuahua X,BISKIT,Female,DAVOREN PARK,8
156432,Tan/White,Staffordshire Bull Terrier,SALTY,Male,DAVOREN PARK,8
156433,Black/White,Australian Cattle Dog X,PATCH,Female,DAVOREN PARK,12
156434,Tan,Australian Terrier,HAMISH,Desexed Male,YATTALUNGA,7
156435,Tan/Black,Mastiff X,LOLA,Female,HILLBANK,14
156436,White,Bull Terrier X,HUGO,Male,CRAIGMORE,3
156437,Brindle,Staffordshire Bull Terrier,SALLY,Female,ANDREWS FARM,4
156438,Brindle/White,Mastiff X,SAPPHIRE,Female,ELIZABETH PARK,12
156439,Tan/White,American Staffordshire Terrier Cross,STRIKER,Desexed Male,ELIZABETH,2
156440,Tan,Staffordshire Bull Terrier X,KANSAS,Female,SMITHFIELD PLAINS,9
156441,Gold,Cavalier King Charles Spaniel X,CHARLIE NAPOLEON,Desexed Male,ANDREWS FARM,8
156442,Black,Staffordshire Bull Terrier X,BRUCE,Desexed Male,BLAKEVIEW,11
156443,Black/Brown,Beagle X,ABBY,Desexed Female,HILLBANK,2
156444,White,White Swiss Shepherd,AMELLIA,Female,ANDREWS FARM,6
156445,White,White Swiss Shepherd,OPAL,Male,ANDREWS FARM,8
156446,Harlequin,Great Dane,DEXTER,Desexed Male,ANDREWS FARM,9
156447,Black/White,Fox Terrier (Smooth)  X,MOLLY,Desexed Female,SMITHFIELD PLAINS,8
156448,Tri-Colored,Papillon,Millee,Desexed Female,ANDREWS FARM,11
156449,White,Maltese X,BENJI,Male,DAVOREN PARK,6
156450,White,Maltese X,TAJH,Desexed Male,DAVOREN PARK,13
156451,Brindle,Staffordshire Bull Terrier X,Shepp,Male,DAVOREN PARK,11
156452,Grey/White,Siberian Husky,Indi,Male,ANDREWS FARM,7
156453,Tan/White,Maltese X,GIZMO,Male,ANDREWS FARM,7
156454,Brindle,Staffordshire Bull Terrier X,Narla,Female,DAVOREN PARK,8
156455,Tan,Staffordshire Bull Terrier X,Jester,Desexed Male,DAVOREN PARK,14
156456,Black/White,Staffordshire Bull Terrier,Jasmine,Desexed Female,ANDREWS FARM,10
156457,Brindle,American Staffordshire Terrier Cross,ANARCHY,Male,DAVOREN PARK,10
156458,Blenheim,Cavalier King Charles Spaniel,ANGUS,Desexed Male,ANDREWS FARM,2
156459,Brown/White,Jack Russell Terrier,LOUIE,Male,ANDREWS FARM,14
156460,Black,Shar Pei,BAILEE,Male,ANDREWS FARM,11
156461,Red,Cavalier King Charles Spaniel,LADY,Female,ANDREWS FARM,6
156462,Brown/White,Jack Russell Terrier,BROWNY,Male,DAVOREN PARK,7
156463,Black /Tan,Fox Terrier (Smooth),RUBY,Desexed Female,DAVOREN PARK,4
156464,Tan,Boxer X,DUKE,Male,DAVOREN PARK,3
156465,Apricot,Jack Russell Terrier X,ERPANG,Desexed Female,YATTALUNGA,14
156466,Tri-Colored,Maltese X,CHEVY,Desexed Male,SMITHFIELD PLAINS,3
156467,Black /Tan,Rottweiler X,TYSON,Desexed Male,SMITHFIELD PLAINS,6
156468,Fawn,Staffordshire Bull Terrier,ACHILLES,Desexed Male,ANDREWS FARM,4
156469,Grey/White,Chihuahua X,BLAZE,Male,SMITHFIELD PLAINS,1
156470,Tri-Colored,Shih Tzu,MILO,Desexed Male,ANDREWS FARM,7
156471,Brown/White,Lhasa Apso X,CHARLIE,Desexed Male,ANDREWS FARM,12
156472,White,Maltese X,DEXTER,Desexed Male,DAVOREN PARK,9
156473,Tan/White,Jack Russell Terrier,AYLA,Female,ANDREWS FARM,4
156474,Black,Border Collie X,MAX,Male,HILLBANK,14
156475,Black/White,Staffordshire Bull Terrier X,SABBATH,Male,ELIZABETH EAST,14
156476,White,Maltese X,ELLI,Female,SMITHFIELD PLAINS,11
156477,Black/White,Unknown,SARKI,Female,ELIZABETH NORTH,8
156478,Fawn,British Bulldog,RONAN,Male,CRAIGMORE,7
156479,Grey/Black,Alaskan Malamute,GAIA,Female,ELIZABETH DOWNS,8
156480,White,Fox Terrier (Smooth)  X,SOPHIE,Desexed Female,ANDREWS FARM,14
156481,Black /Tan,Chihuahua X,MISSY,Desexed Female,ANDREWS FARM,5
156482,Black/White,Australian Silky Terrier X,PANDA,Male,SMITHFIELD PLAINS,5
156483,Cream,Maltese X,mojo,Desexed Male,DAVOREN PARK,6
156484,Black,Dutch Shepherd,SKATES,Desexed Male,HILLIER,11
156485,White/Red,Siberian Husky,FAITH,Female,SMITHFIELD PLAINS,12
156486,Blue,Staffordshire Bull Terrier,ARWIN,Desexed Female,ANDREWS FARM,6
156487,Brown,Alaskan Malamute,PIPER,Desexed Female,SMITHFIELD PLAINS,7
156488,Tan/White,Cavalier King Charles Spaniel,JET,Male,MUNNO PARA WEST,8
156489,Brown,Australian Kelpie,DECOTA,Male,SMITHFIELD PLAINS,8
156490,Fawn,Pug,FRANKIE,Desexed Female,ANDREWS FARM,6
156491,Blue/Roan,Cocker Spaniel,BUDDY,Desexed Male,ELIZABETH NORTH,4
156492,Grey/White,Alaskan Malamute,SHYLA,Female,ANDREWS FARM,13
156493,Tan,Bullmastiff X,BUSTER,Male,DAVOREN PARK,13
156494,Gold,Labrador Retriever,LEWIS,Desexed Male,ANDREWS FARM,8
156495,Cream,Pomeranian,BELLA,Desexed Female,DAVOREN PARK,2
156496,Tan/Brown,Pomeranian X,SIMBA,Male,DAVOREN PARK,13
156497,Tan/White,Jack Russell Terrier X,GEORGIE,Desexed Female,MUNNO PARA WEST,11
156498,White,Maltese X,PEPE,Desexed Male,ELIZABETH EAST,7
156499,White,Maltese X,busta,Desexed Male,ELIZABETH GROVE,2
156500,Apricot,Poodle (Miniature),HONEY,Male,DAVOREN PARK,11
156501,Black/Grey,Pomeranian X,MILO,Desexed Male,ANDREWS FARM,13
156502,Black,German Shepherd Dog X,TYSON,Male,ANDREWS FARM,14
156503,Red,American Staffordshire Terrier,Sledge,Male,DAVOREN PARK,5
156504,Tan/White,Bulldog,Freya,Female,DAVOREN PARK,3
156505,Brindle,Staffordshire Bull Terrier X,Chopper,Male,HILLBANK,13
156506,Black/Tan/White,Staffordshire Bull Terrier X,Dallas,Male,HILLBANK,5
156507,Tan,Whippet X,BUDDY,Male,ANDREWS FARM,13
156508,Tan/White,Shar Pei X,SNOOP,Male,DAVOREN PARK,6
156509,Tri-Colored,Maltese X,MONDO,Male,MUNNO PARA,11
156510,Black/White,Staffordshire Bull Terrier,BLKWHT,Female,SMITHFIELD PLAINS,7
156511,Black,Rottweiler,TILLY,Female,DAVOREN PARK,6
156512,White,Maltese X,CHE CHE,Male,DAVOREN PARK,2
156513,Ginger,Maltese X,Nutmeg,Desexed Female,ANDREWS FARM,11
156514,White,Maltese,BENNY,Male,ELIZABETH EAST,11
156515,Tri-Colored,Jack Russell Terrier X,BELLA,Female,ANDREWS FARM,13
156516,White/Red,Australian Cattle Dog X,CHLOE,Female,DAVOREN PARK,8
156517,Gold,Cocker Spaniel,ROSIE,Desexed Female,SMITHFIELD PLAINS,2
156518,White,Poodle X,OSCAR,Male,ELIZABETH DOWNS,5
156519,Fawn,Mastiff,RUBY,Female,MUNNO PARA WEST,2
156520,Brindle,Staffordshire Bull Terrier,boof,Male,DAVOREN PARK,9
156521,White/Brindle,American Staffordshire Terrier,CLEO,Desexed Male,DAVOREN PARK,11
156522,Black/White,Border Collie X,MOJO,Desexed Male,DAVOREN PARK,6
156523,Black/White,Bearded Collie,JAKE,Male,CRAIGMORE,8
156524,Tan,Rhodesian Ridgeback X,NEMO,Female,DAVOREN PARK,9
156525,Black,Belgian Shepherd Dog X,BRUTUS,Male,DAVOREN PARK,13
156526,White,Maltese X,BINDI,Female,DAVOREN PARK,9
156527,Light Brown,Bullmastiff,BOB,Male,DAVOREN PARK,8
156528,Black /Tan,German Shepherd Dog,MAX,Male,MUNNO PARA WEST,9
156529,White,Maltese X,BONNEY-JUDE,Desexed Female,DAVOREN PARK,1
156530,Brown/Black,Fox Terrier (Smooth),TOBY,Male,CRAIGMORE,9
156531,Black/White,Border Collie,BAILEY,Male,DAVOREN PARK,6
156532,White,Maltese X,MILO,Desexed Male,ANDREWS FARM,14
156533,Brown,Irish Wolfhound X,BUDDY,Desexed Male,ANDREWS FARM,8
156534,Brown,Staffordshire Bull Terrier,GUNNER,Male,DAVOREN PARK,11
156535,Tri-Colored,Maltese X,MONTY,Desexed Male,ANDREWS FARM,2
156536,Fawn,Pug,DUDLEY,Male,SMITHFIELD PLAINS,6
156537,Tan/White,X Breed,ANDY,Desexed Male,ANDREWS FARM,1
156538,Tan/White,Jack Russell Terrier X,RUSTY,Desexed Male,CRAIGMORE,1
156539,Black /Tan,Rottweiler,BUDDAH,Male,ANDREWS FARM,12
156540,Tan/White,Chihuahua X,HUNNY,Female,ANDREWS FARM,12
156541,Sable,Bullmastiff X,ARIA,Female,DAVOREN PARK,7
156542,Brindle,Staffordshire Bull Terrier,BILL,Male,ELIZABETH VALE,3
156543,Tan/White,Rottweiler X,DEXTER,Male,SMITHFIELD PLAINS,13
156544,Black /Tan,Rottweiler,JORDY,Female,HILLBANK,3
156545,Brindle/White,Staffordshire Bull Terrier X,TESS,Desexed Female,ELIZABETH EAST,14
156546,Black,Staffordshire Bull Terrier X,SHADOW,Male,ANDREWS FARM,12
156547,White,Shar Pei,LULU,Desexed Female,SMITHFIELD PLAINS,11
156548,Red,Australian Cattle Dog,BARNESY,Male,SMITHFIELD,1
156549,Tan,Staffordshire Bull Terrier X,JAXSON,Male,SMITHFIELD PLAINS,2
156550,Black/Grey,Jack Russell Terrier X,DIVA,Female,ANDREWS FARM,12
156551,Tan,Staffordshire Bull Terrier X,JAWS,Male,SMITHFIELD PLAINS,10
156552,Black/Grey,Poodle X,ECLAIRE,Female,ANDREWS FARM,13
156553,White,Maltese X,DEMII,Desexed Female,ANDREWS FARM,3
156554,Black /Tan,Jack Russell Terrier X,SPENCER,Desexed Male,ANDREWS FARM,3
156555,White,Staffordshire Bull Terrier,TERRA BELLE,Female,DAVOREN PARK,8
156556,Brown/White,Maltese X,TILLY,Female,ANDREWS FARM,2
156557,White,Maltese X,COCO,Female,ANDREWS FARM,12
156558,Brown/Black,German Shepherd Dog X,CONAN,Desexed Male,CRAIGMORE,1
156559,Black,Labrador Retriever,MAC,Desexed Male,CRAIGMORE,11
156560,Beige,Shar Pei X,B.J,Male,SMITHFIELD PLAINS,12
156561,Brown/White,Staffordshire Bull Terrier X,SEMI,Desexed Male,DAVOREN PARK,9
156562,Fawn,Tenterfield Terrier X,SPUD,Female,SMITHFIELD PLAINS,2
156563,Tan,American Staffordshire Terrier Cross,ABBIE,Female,MUNNO PARA WEST,12
